Link,Score,Prediction
KY_2024_007e25de106925db7a7f6d083986ce27.html.gz,1.0222222805023193,Most likely human-generated
KY_2024_0478b1c5073b42f4c852ea8e95a6aa59.html.gz,1.0643274784088135,Most likely human-generated
KY_2024_0a72266e80c37ce25e1d7448e3e81964.html.gz,1.0188679695129395,Most likely human-generated
KY_2024_0abe6d6b2a22eee01c7dd15df27f35ca.html.gz,0.9935483932495117,Most likely human-generated
KY_2024_1389281393c2c43e2eb36537d05cb697.html.gz,0.9777777791023254,Most likely human-generated
KY_2024_1420a3ef1ea08fa8b590a60879cd1f24.html.gz,1.0264900922775269,Most likely human-generated
KY_2024_149843ac6c737e0d584418aae47f9619.html.gz,0.9934210777282715,Most likely human-generated
KY_2024_182b3461edd7a8691e833ca950313e13.html.gz,1.0636942386627197,Most likely human-generated
KY_2024_188fdbf1afbf5595502cb531e687c2d1.html.gz,1.0054347515106201,Most likely human-generated
KY_2024_1ba0a6743d109e80ae9da7a4d0b61619.html.gz,0.9802955389022827,Most likely human-generated
KY_2024_1f322a900871dde1cfa3e06e5efb5ace.html.gz,1.0075187683105469,Most likely human-generated
KY_2024_208d5388b45ea4b3a560c88d7c633ab7.html.gz,0.9618320465087891,Most likely human-generated
KY_2024_26e615264a413a0e2a180d331cd83b8b.html.gz,1.0378787517547607,Most likely human-generated
KY_2024_28f735cfa62b4c0121e2aa1879871fdb.html.gz,0.9726027250289917,Most likely human-generated
KY_2024_2d46ad6b2d050bdcc582c1f025645358.html.gz,0.9723756909370422,Most likely human-generated
KY_2024_2d713b3a260d28daa5306c8aebb69412.html.gz,1.0329670906066895,Most likely human-generated
KY_2024_2ddadb138a187fcfb1fd265a79589909.html.gz,0.9696969985961914,Most likely human-generated
KY_2024_336e28c8c762350122ac2f2e290b5dd2.html.gz,0.9794871807098389,Most likely human-generated
KY_2024_3a9d9ece108c734a95f470eb71bf288a.html.gz,0.9463087320327759,Most likely human-generated
KY_2024_45660cf3338f17d7abc48115c1a09401.html.gz,1.1057692766189575,Most likely human-generated
KY_2024_45fe1c5953899ab9318817a94c23b488.html.gz,1.0423280000686646,Most likely human-generated
KY_2024_468f5cefcaf9bff72d55c1ee8206e7fb.html.gz,1.0387096405029297,Most likely human-generated
KY_2024_4770cfa130812e54c803fd2b23e571e8.html.gz,0.9864864945411682,Most likely human-generated
KY_2024_483612202ca9ed3e1d20307d465676e1.html.gz,0.9738562107086182,Most likely human-generated
KY_2024_4ae49b2f29a877ffbff7a605763a44b3.html.gz,0.9610389471054077,Most likely human-generated
KY_2024_4d5a0917863f9fb593ee51a418a67d5d.html.gz,0.9873949289321899,Most likely human-generated
KY_2024_51dc0e886f248d5287d2061c4ea5aca2.html.gz,0.9066666960716248,Most likely human-generated
KY_2024_52efa1c428f75f4c1e66fbf0861bc18e.html.gz,0.9752066135406494,Most likely human-generated
KY_2024_54239013165963ffaca1e79d6852779a.html.gz,1.0279330015182495,Most likely human-generated
KY_2024_577046753d9fe4efe6a769738484bb0a.html.gz,0.9599999785423279,Most likely human-generated
KY_2024_584b287ddfc38c4390b03747c8bf1008.html.gz,1.0399999618530273,Most likely human-generated
KY_2024_5a6597281756c7ebdf68ded16f918337.html.gz,1.045454502105713,Most likely human-generated
KY_2024_5c5c47de7207c612e68c46cb73de9074.html.gz,1.0202702283859253,Most likely human-generated
KY_2024_5e43e9da89fe7c68a319076da66ea2af.html.gz,0.9702380895614624,Most likely human-generated
KY_2024_64b66b2f27d757069550c425546fef3c.html.gz,1.0526316165924072,Most likely human-generated
KY_2024_67a6042856960109f9f78e1d512e8905.html.gz,1.0571428537368774,Most likely human-generated
KY_2024_6b66aeb594299e628386fd19fc2ce3ca.html.gz,1.0189872980117798,Most likely human-generated
KY_2024_6b75528cf49114457e0f87cfcd6e16eb.html.gz,0.9216417670249939,Most likely human-generated
KY_2024_6b9f6d5f1d40b10a95664c737ffb746f.html.gz,0.9399999976158142,Most likely human-generated
KY_2024_6cdcd83c53d5fb138127e10334f5ffcb.html.gz,0.9305555820465088,Most likely human-generated
KY_2024_70b3961bd7360828876d75c5ab65b3ac.html.gz,1.014285683631897,Most likely human-generated
KY_2024_713186e4fc04cf15a24cf84e425c3c2e.html.gz,0.9659863710403442,Most likely human-generated
KY_2024_729f8a3dbe613ce82960cbf01875cbc5.html.gz,0.9448819160461426,Most likely human-generated
KY_2024_72f44eb0493184a7c50279d8afa2c5a9.html.gz,0.9496402740478516,Most likely human-generated
KY_2024_7598551fec2738a8f71055c684607395.html.gz,1.0514706373214722,Most likely human-generated
KY_2024_7a93bfa4de598144211ee46898f89d36.html.gz,1.0117647647857666,Most likely human-generated
KY_2024_7edd4e716bd38a26c5d79a2f68f906ef.html.gz,1.0,Most likely human-generated
KY_2024_814fdcd1edb44daba428818e7af29138.html.gz,1.0,Most likely human-generated
KY_2024_88cf76716869b71b6f827aa76f416829.html.gz,0.9779411554336548,Most likely human-generated
KY_2024_95aebc2727fcf7c560ef616b8371b572.html.gz,0.9869281053543091,Most likely human-generated
KY_2024_98cd5e2194ccfc69fabee677d58e0f6d.html.gz,1.0215827226638794,Most likely human-generated
KY_2024_9a40cc404e36d244e3511b4b6fd831f3.html.gz,1.0812499523162842,Most likely human-generated
KY_2024_a07aadc761b8c39da8be841cd71043b3.html.gz,1.014285683631897,Most likely human-generated
KY_2024_a794b0215d59e6fc4b535ffcbc6f020d.html.gz,0.9673202633857727,Most likely human-generated
KY_2024_b05db89e639add306ef9f6a7f57935cb.html.gz,1.028777003288269,Most likely human-generated
KY_2024_b28a904ceb9d6352cde0f999d690a11a.html.gz,1.0,Most likely human-generated
KY_2024_b6eb83f7c88d88e0d5c02159fe7c53e1.html.gz,1.0,Most likely human-generated
KY_2024_b7e0f3965d4a9c9b582dc8d24f4cc17a.html.gz,1.021276593208313,Most likely human-generated
KY_2024_b8e5ad4782a1ebbd79d61eda20fce7fa.html.gz,0.98591548204422,Most likely human-generated
KY_2024_b98d5ed03d8f8aa907864f77709fa2a6.html.gz,0.9448275566101074,Most likely human-generated
KY_2024_bc4c47595b99f203ff92385bd425e592.html.gz,1.0124223232269287,Most likely human-generated
KY_2024_bf718e595e0c84613efab05b6248538b.html.gz,0.9599999785423279,Most likely human-generated
KY_2024_c03c35b83186aceba83ed972fbf82fdf.html.gz,1.021505355834961,Most likely human-generated
KY_2024_c1c55bb3d0e1efee973208bc69f19c1d.html.gz,0.951724112033844,Most likely human-generated
KY_2024_c26cad8a17035838a30d3459d2208711.html.gz,0.965753436088562,Most likely human-generated
KY_2024_c578fc96cd000cf510e91b3f54cbfda7.html.gz,1.0204081535339355,Most likely human-generated
KY_2024_c79d7df743dc03d6a409d0f662eb6eb3.html.gz,0.9384615421295166,Most likely human-generated
KY_2024_c805de13ee082da06f0f81a1444e54f2.html.gz,0.9943181872367859,Most likely human-generated
KY_2024_c9dab66ce6fa8e7e0ecbe1f4c779b3cd.html.gz,1.0080645084381104,Most likely human-generated
KY_2024_d01faba1916c689d2f35ae95e7277e81.html.gz,0.9436089992523193,Most likely human-generated
KY_2024_d330ad6576468f0ea04df536129a6aa6.html.gz,0.9586206674575806,Most likely human-generated
KY_2024_d63537cd6c21681a9fbe60c7ca0f019a.html.gz,1.0325202941894531,Most likely human-generated
