Link,Score,Prediction
NJ_2023_05c4b485404f4f4704541ecba4a4eecc.html.gz,0.9794520735740662,Most likely human-generated
NJ_2023_0e3115440e66008375914b421ecc5bba.html.gz,0.9186046719551086,Most likely human-generated
NJ_2023_11208afe5636846ecfc664921233222f.html.gz,1.00632905960083,Most likely human-generated
NJ_2023_14e7a554be2d4a8e3180944ada6dd93d.html.gz,1.0675675868988037,Most likely human-generated
NJ_2023_1556b3b25ec9b1eb67364cf27d216c44.html.gz,0.95686274766922,Most likely human-generated
NJ_2023_195ca88c093a7881a67dcb06e71bb4c7.html.gz,0.7752293348312378,Most likely AI-generated
NJ_2023_196a0ff5de22ed2207a2a649de19c8df.html.gz,0.9548022747039795,Most likely human-generated
NJ_2023_19ece0be194802daa015de743a75d75c.html.gz,0.9407407641410828,Most likely human-generated
NJ_2023_1a6a2b574b1d057ca24f20d0fb59ef51.html.gz,1.0265957117080688,Most likely human-generated
NJ_2023_21a5a3c9b6eefaa1c4c86f5622e8d668.html.gz,1.0064934492111206,Most likely human-generated
NJ_2023_249742ce74055992b6326cca28ecc905.html.gz,1.0,Most likely human-generated
NJ_2023_2877ca5674dfedacc691f7fb5a579b25.html.gz,1.0055248737335205,Most likely human-generated
NJ_2023_2b5cb46639d7217b82ab948a5ddf506a.html.gz,1.0409356355667114,Most likely human-generated
NJ_2023_2f318041da16d150113a7dd12b98203d.html.gz,1.0189872980117798,Most likely human-generated
NJ_2023_325cad3375d6b1d4c393b3fc8c906d1a.html.gz,0.9850746393203735,Most likely human-generated
NJ_2023_336095dbd8a4f0a13a7c12bce297f31b.html.gz,1.045161247253418,Most likely human-generated
NJ_2023_354ced38c02faccb84b0c2a3702541e4.html.gz,1.00632905960083,Most likely human-generated
NJ_2023_37b59cab1e4456284cc7c76cf1a27670.html.gz,1.0360825061798096,Most likely human-generated
NJ_2023_396d5ef016694895c229c4dc36845100.html.gz,0.9882352948188782,Most likely human-generated
NJ_2023_3aaf52bf8b92a731f8bcdb68aed00173.html.gz,1.0502512454986572,Most likely human-generated
NJ_2023_3de9b6696ee45d11d9f0d83b8a9a3991.html.gz,0.9878787994384766,Most likely human-generated
NJ_2023_418272e64bfeb1a00fe14b65db58ffe3.html.gz,1.0,Most likely human-generated
NJ_2023_420e116c23a1062b80645542eb19fe47.html.gz,1.0,Most likely human-generated
NJ_2023_424646d52c4a5ee20598707d2b28780c.html.gz,0.9863945841789246,Most likely human-generated
NJ_2023_43b4aa8720616756e994272d331f444b.html.gz,0.9928057789802551,Most likely human-generated
NJ_2023_455f9d8913d2598d5b3115725beb8ba9.html.gz,1.0067567825317383,Most likely human-generated
NJ_2023_479f1a439e8d833241fee3c67f224c6f.html.gz,0.954285740852356,Most likely human-generated
NJ_2023_4ea6990ac4c517a04775be0e1991df9d.html.gz,0.9815950989723206,Most likely human-generated
NJ_2023_5310119cf748c8485e590c6448e9791d.html.gz,0.9685039520263672,Most likely human-generated
NJ_2023_55fb164767712b0c06f27ec12d882400.html.gz,0.9884393215179443,Most likely human-generated
NJ_2023_58bb4b80f6478746c8c2b7371d3283e8.html.gz,1.04347825050354,Most likely human-generated
NJ_2023_6806af4287065742b871c034ba30c794.html.gz,0.9677419066429138,Most likely human-generated
NJ_2023_6ff9c914b88f9b72e989cc072ff7aec6.html.gz,0.9814814925193787,Most likely human-generated
NJ_2023_7080510dd96f9a9327949a75db2b1205.html.gz,0.9793814420700073,Most likely human-generated
NJ_2023_7865fa0afcdc5a45e6d262c26bd217a9.html.gz,0.9791666865348816,Most likely human-generated
NJ_2023_78e865f2dfd587e1a3f3cc80664bfec6.html.gz,1.009216547012329,Most likely human-generated
NJ_2023_80567b52a41badaa5f64836a9d792021.html.gz,0.9932432174682617,Most likely human-generated
NJ_2023_833f7fc8d82ec3dff6f1529f2bcc1c51.html.gz,0.9938650131225586,Most likely human-generated
NJ_2023_83fb1b70915e3bf26fe18a624b5f9300.html.gz,0.9938271641731262,Most likely human-generated
NJ_2023_86699b4156678d267be3d839edc83430.html.gz,1.0727273225784302,Most likely human-generated
NJ_2023_887c54fdf396b687eedad58e6a5d07b0.html.gz,1.045714259147644,Most likely human-generated
NJ_2023_88899e347b4cc2de6290b9cc2059e6a1.html.gz,0.9753086566925049,Most likely human-generated
