Link,Score,Prediction
NM_2024_0d5bd50f08e9ac9796537aac7bd1ed6e.html.gz,0.9638554453849792,Most likely human-generated
NM_2024_0fe83ccac79e4dfa19ff59bc26488cde.html.gz,1.0265957117080688,Most likely human-generated
NM_2024_12c84b0422f31e881ba83bd94ab34f90.html.gz,0.548872172832489,Most likely AI-generated
NM_2024_1c334b3d1df956ab34c4c279ec2ba784.html.gz,1.0636942386627197,Most likely human-generated
NM_2024_24170b1b40bb9d6dd10f4afd4827411e.html.gz,1.04347825050354,Most likely human-generated
NM_2024_28d39ce6fdfc9d168e606c728b4875e7.html.gz,1.013157844543457,Most likely human-generated
NM_2024_3d14fa6607528e742e330884e0f5e050.html.gz,1.0359711647033691,Most likely human-generated
NM_2024_3f27d451d0e7cc9be85614330832f6bc.html.gz,1.0503144264221191,Most likely human-generated
NM_2024_4183bb06eb342af8769f596d63d9bccf.html.gz,0.949999988079071,Most likely human-generated
NM_2024_45809fa63cbf0bbc301278f85646cb16.html.gz,1.0185185670852661,Most likely human-generated
NM_2024_46325f5689002358fb29ef4f6a2f13d4.html.gz,1.0466666221618652,Most likely human-generated
NM_2024_483bf66ef06cbbbd7a29fd48500885c1.html.gz,1.0679012537002563,Most likely human-generated
NM_2024_4a8be8fe6111e1734b676e227855b1c8.html.gz,0.949999988079071,Most likely human-generated
NM_2024_4e8a40c6b3189e95f238f4a203f3af8e.html.gz,1.0563380718231201,Most likely human-generated
NM_2024_54e92c31c256ef72015b37bab0849895.html.gz,0.9545454382896423,Most likely human-generated
NM_2024_636f6b9827f00ae86145ed7afbcf761d.html.gz,1.0473684072494507,Most likely human-generated
NM_2024_63d40854ca93d0e46907aa0a0824a77f.html.gz,0.8855421543121338,Most likely human-generated
NM_2024_66916ecb3e1b77c9431758549971e9dc.html.gz,0.9567901492118835,Most likely human-generated
NM_2024_68b73afe4e00cd20b859a7f1f896385d.html.gz,1.0526316165924072,Most likely human-generated
NM_2024_692106c825500eff10c673bdc8871640.html.gz,0.9710144996643066,Most likely human-generated
NM_2024_6ae9424c709c86312e040994986a1637.html.gz,0.9814814925193787,Most likely human-generated
NM_2024_805c74f203912abcb973c4999025a2ad.html.gz,1.0199999809265137,Most likely human-generated
NM_2024_8265c6e8ffa81a44c712d04a61618ec7.html.gz,0.9698795080184937,Most likely human-generated
NM_2024_b570700651dbff9830bb685a59beec1c.html.gz,0.9710144996643066,Most likely human-generated
NM_2024_bb7743040ed864fff32177e6511f1719.html.gz,0.9673202633857727,Most likely human-generated
NM_2024_c693dc7477ea4ceeb2553782babea72d.html.gz,0.9890710115432739,Most likely human-generated
NM_2024_d9836ea81ebe389648b4724236362e2f.html.gz,0.949999988079071,Most likely human-generated
NM_2024_e09e5a9f51a8fc00e06caea9fc9267d0.html.gz,0.9637681245803833,Most likely human-generated
NM_2024_e1b6e94915d3c24006fe88fe73755d18.html.gz,1.0641025304794312,Most likely human-generated
NM_2024_f1a081fe85b61c30aa26dc3c589904ac.html.gz,1.020689606666565,Most likely human-generated
NM_2024_f68ea1b810e0d92bc03f04bceeb6049c.html.gz,0.9785714149475098,Most likely human-generated
NM_2024_f72b6a68e1114bb869e22192d043a77d.html.gz,0.9510869383811951,Most likely human-generated
