Link,Score,Prediction
KS_2023_4054ec3a38f423e2f37b721d9aa11742.html.gz,0.9862068891525269,Most likely human-generated
KS_2023_44f8e74d78a8511bd45f68482f2ddf54.html.gz,0.9200000166893005,Most likely human-generated
KS_2023_47b07bd93e05724839e7f6cb1392d87e.html.gz,1.0122699737548828,Most likely human-generated
KS_2023_4a141568ec7d2f075043815506ebfe09.html.gz,1.0384615659713745,Most likely human-generated
KS_2023_51ff7b2f86764e41d4fa28f7b7cb1197.html.gz,1.0472972393035889,Most likely human-generated
KS_2023_5d2ac227617d9cd753a3e5ff702fad41.html.gz,1.0,Most likely human-generated
KS_2023_818da5122bba6f0ec17b8b05652d9a51.html.gz,1.0126582384109497,Most likely human-generated
KS_2023_94f84c0287a5515df4dd3a3e77bee89e.html.gz,1.1095890998840332,Most likely human-generated
KS_2023_97201a3cd69551df935ddc9ad8d65223.html.gz,0.9938650131225586,Most likely human-generated
KS_2023_9f336cfd4293c37063ee0e18dcf4d3b0.html.gz,0.9583333134651184,Most likely human-generated
