Link,Score,Prediction
MI_2024_05983538616c4a1bce29a890a93fd67b.html.gz,1.1184210777282715,Most likely human-generated
MI_2024_0f73a4bc0e932a8d2eef4983f079fe6b.html.gz,1.08695650100708,Most likely human-generated
MI_2024_2e155e5c2ba28d1c7cd4885aab5f7ad1.html.gz,0.9794520735740662,Most likely human-generated
MI_2024_3a09d1c943032235c4e4a53e614f550e.html.gz,1.0137931108474731,Most likely human-generated
MI_2024_405ad8fce100c8ca648b7dacfbe4bc60.html.gz,0.9668874144554138,Most likely human-generated
MI_2024_46a7861a56b09cf201364e5d3a3d2cc5.html.gz,1.0422534942626953,Most likely human-generated
MI_2024_4791d6b5816c8267d4dc2e3a1c59f305.html.gz,1.0437955856323242,Most likely human-generated
MI_2024_4daaa735db0a112fc135adf43f8554dd.html.gz,1.045454502105713,Most likely human-generated
MI_2024_52ad7e183090a3cb9317eacb4657e352.html.gz,0.9668874144554138,Most likely human-generated
MI_2024_5486ca8c008ddb88fb6a312aa35467fc.html.gz,0.9378238320350647,Most likely human-generated
MI_2024_552fb54599f686fd6497a7f4b7446cfc.html.gz,0.9599999785423279,Most likely human-generated
MI_2024_564f6f807251a25eaa4434f58ccafb22.html.gz,1.0616438388824463,Most likely human-generated
MI_2024_5d58a2b47746b4a08993c1d0b6886090.html.gz,0.9862068891525269,Most likely human-generated
MI_2024_6b79b59cdddcdcf3f9e875308afad735.html.gz,1.0,Most likely human-generated
MI_2024_6e3a032467526de1879d44b07b97df7d.html.gz,0.9929078221321106,Most likely human-generated
MI_2024_72ddff85571dc38dea41659f2646762f.html.gz,1.0137931108474731,Most likely human-generated
MI_2024_8822457ae99ac09bd5775c952807fb9a.html.gz,1.0573248863220215,Most likely human-generated
MI_2024_8b17abe52ebcf04d1fa321cc7ae4209d.html.gz,0.9845361113548279,Most likely human-generated
MI_2024_9043225dfbef7a75357e5b214c841a4f.html.gz,0.9347826242446899,Most likely human-generated
MI_2024_93c6975e5f057c1c68db378c5ea7e0cb.html.gz,0.9779411554336548,Most likely human-generated
MI_2024_9cb1b64ec237116583e205c92bde40cf.html.gz,0.9727891087532043,Most likely human-generated
MI_2024_9f92e5e0ab4e802f88c5a1e813fb21e6.html.gz,1.0072463750839233,Most likely human-generated
MI_2024_a2c37126918a112f7d44851b58911cf4.html.gz,0.9353233575820923,Most likely human-generated
MI_2024_a2e96bb5be67fa17aeea540e2bec36bc.html.gz,1.0756757259368896,Most likely human-generated
MI_2024_a316bed5dbc96cdc5161dae3f3b841ae.html.gz,0.9649122953414917,Most likely human-generated
MI_2024_a3eea03cd8af36b5a4e0fdac0cec3385.html.gz,1.0608108043670654,Most likely human-generated
MI_2024_a9c90240a2438392d934817b53ddc7ae.html.gz,1.063218355178833,Most likely human-generated
MI_2024_b00be00de59cd6519cfe1f29430521ef.html.gz,1.0118342638015747,Most likely human-generated
MI_2024_b16bac79df5af03973e23805e43fbd0f.html.gz,1.0377358198165894,Most likely human-generated
MI_2024_c02c8069b74878ecc61cae3c5269fcc5.html.gz,0.9241379499435425,Most likely human-generated
MI_2024_c0f6901bcb0019ebe9abfc8e04c22416.html.gz,0.9916666746139526,Most likely human-generated
MI_2024_c39dbad18ddc177475cac2f0fe5b652b.html.gz,0.981249988079071,Most likely human-generated
MI_2024_c493296e2a844d7ceaf3d5196ef0363b.html.gz,1.032679796218872,Most likely human-generated
MI_2024_c6d4564d8294819141453ed47b41b402.html.gz,1.0049999952316284,Most likely human-generated
MI_2024_cd960e2762b417ca9fc00a41ff949c96.html.gz,1.056249976158142,Most likely human-generated
MI_2024_def217379187d63ccb2a55aec131b652.html.gz,0.9823529124259949,Most likely human-generated
MI_2024_e689ede69005f89625057e564703c8a4.html.gz,1.0756757259368896,Most likely human-generated
MI_2024_e8996ee8f28d62b8901729d56cffa41e.html.gz,1.0,Most likely human-generated
MI_2024_eeabb0d01e0d42d9845f567c9e35db19.html.gz,1.0060975551605225,Most likely human-generated
MI_2024_ef9f5b85a0e749df9cc313e7e30ebac6.html.gz,1.0289016962051392,Most likely human-generated
MI_2024_f12fa7d76d4af3f25ff47741b9ab2eaf.html.gz,0.9696969985961914,Most likely human-generated
MI_2024_f92e7b52275a32ee38e646b3e87beca8.html.gz,1.0289855003356934,Most likely human-generated
