Link,Score,Prediction
CA_2023_006d7b8d861ae1e237a2edac1a25e31a.html.gz,0.9457831382751465,Most likely human-generated
CA_2023_007d7cb8add0029bd7bbcdda1f7a054f.html.gz,1.04347825050354,Most likely human-generated
CA_2023_066d108ca85f43dbab8e2521709abaea.html.gz,1.0141843557357788,Most likely human-generated
CA_2023_0a874c9514294cbf1fb358f268c1a5e4.html.gz,0.9605262875556946,Most likely human-generated
CA_2023_102a7a398afa0d780b50a84802e1f97c.html.gz,0.9378882050514221,Most likely human-generated
CA_2023_11bda397bb9ed5092f1bedb6d8b02e1d.html.gz,0.98591548204422,Most likely human-generated
CA_2023_27cf883d778d7859df90a399f96366a2.html.gz,1.0191082954406738,Most likely human-generated
CA_2023_2bfb86493b604a409100a2019936b5a8.html.gz,0.969924807548523,Most likely human-generated
CA_2023_2eb439e09fc3b8e9772f7f58c5489a76.html.gz,0.8738738894462585,Most likely human-generated
CA_2023_30582c73a73210a47f27d9d4fb10973d.html.gz,0.9724137783050537,Most likely human-generated
CA_2023_421c7715a01b05aa8489ca0bf42a5073.html.gz,0.9775280952453613,Most likely human-generated
CA_2023_450313b83e8154724a4f74b4abd3bac5.html.gz,0.981249988079071,Most likely human-generated
CA_2023_509189cf8e2581392a7bd986e6980ce9.html.gz,0.9502074718475342,Most likely human-generated
CA_2023_58fbc2e4947a39a37d82b22f915665df.html.gz,0.9155844449996948,Most likely human-generated
CA_2023_5a455f32e2ac75d02270a7dddbffca9d.html.gz,0.8739837408065796,Most likely human-generated
CA_2023_5b372b511de85ff5cdc0b1e0d8203525.html.gz,0.9850746393203735,Most likely human-generated
CA_2023_6ba5efc38f3aa377aba76afbae72b80f.html.gz,0.9927536249160767,Most likely human-generated
CA_2023_704ce65655bb04677c02bc226a9e7022.html.gz,0.9940476417541504,Most likely human-generated
CA_2023_727d0e7596ad2cfc561d5d59ee96e5f0.html.gz,0.9803921580314636,Most likely human-generated
CA_2023_73b0ca3c9f6e4fbb27a835cbbb73cc8b.html.gz,0.9650349617004395,Most likely human-generated
CA_2023_751231a315f180fdea6d108ec2e04ce0.html.gz,0.9766355156898499,Most likely human-generated
CA_2023_77db6b3a682a3e36efc60e27c7c6142e.html.gz,0.9662162065505981,Most likely human-generated
CA_2023_7db8d68b652a535532236932b4ed3c88.html.gz,1.046413540840149,Most likely human-generated
CA_2023_8b356378733d222396a9583d381a2984.html.gz,1.0060606002807617,Most likely human-generated
CA_2023_8dcbb1fb5420ee631cac8a19467a969c.html.gz,0.9433198571205139,Most likely human-generated
CA_2023_98ebf3b5b70dfbc42198ee1cc88185d7.html.gz,0.9855072498321533,Most likely human-generated
CA_2023_a0e7e13df72f43774ebd934ff8e6863e.html.gz,1.0202702283859253,Most likely human-generated
CA_2023_a684da18ddfb89ad426a6d34f39cbd59.html.gz,1.0055248737335205,Most likely human-generated
CA_2023_a7c26e5b7056d53810f8d6ec052a7310.html.gz,0.9464285969734192,Most likely human-generated
CA_2023_a80f5623410a77719d10fd56d72184e3.html.gz,1.0202702283859253,Most likely human-generated
CA_2023_a8a47f07d27ba26bb0b5fd1e12af6bd7.html.gz,1.047337293624878,Most likely human-generated
CA_2023_af1c9fd8ed6aa4aba7e18db892bc6b02.html.gz,1.0188679695129395,Most likely human-generated
CA_2023_b065bc38c5053b0273b5ee5c85f86cdc.html.gz,0.8120300769805908,Most likely AI-generated
CA_2023_b107ba0f4e1b268b2dda2cb498a48489.html.gz,1.0064516067504883,Most likely human-generated
CA_2023_b383606bd7c500068d4f21f82de6f4fb.html.gz,0.9509202241897583,Most likely human-generated
CA_2023_bbadcf002ae19780d63b5269da72caf9.html.gz,0.9754601120948792,Most likely human-generated
CA_2023_bf213707f94f703c502e9d90cf9909df.html.gz,1.0213903188705444,Most likely human-generated
CA_2023_bf91618a52d7df731e2dada438560694.html.gz,0.9878787994384766,Most likely human-generated
CA_2023_ca2a33d8f35756962b7cb439e289e247.html.gz,1.0139859914779663,Most likely human-generated
CA_2023_d42b4d51bf84c974368fa2b86334f664.html.gz,0.9942196607589722,Most likely human-generated
CA_2023_d4d497455fe1a71d3734fd63ff2dd412.html.gz,1.0492957830429077,Most likely human-generated
CA_2023_d699a06ead23cdf420bee3a279605931.html.gz,1.0,Most likely human-generated
CA_2023_d83d6baf29f54318351aa01b6a5f39e3.html.gz,0.9821428656578064,Most likely human-generated
CA_2023_ea922ddb7a203def5352042d4173a823.html.gz,1.0273224115371704,Most likely human-generated
CA_2023_f0a84ab04a2d6a168bb746eb32f9fb97.html.gz,0.9748427867889404,Most likely human-generated
CA_2023_f13975aebaf48b6e05b94fb6c50557a9.html.gz,0.9927536249160767,Most likely human-generated
CA_2023_f64797deb92afa3e7cc04194b51a1179.html.gz,1.0,Most likely human-generated
CA_2023_f774b7c103391bf4a4712898859a3c6a.html.gz,0.9078013896942139,Most likely human-generated
