Link,Score,Prediction
KY_2023_097ed7b1a5198c848db3387b79062777.html.gz,1.0119760036468506,Most likely human-generated
KY_2023_0e309e720abbee3943799f9fbf36c2e3.html.gz,1.0709677934646606,Most likely human-generated
KY_2023_1a3b4dbe4d32ff6ce4b9a0acfcca15f7.html.gz,1.0119760036468506,Most likely human-generated
KY_2023_2132f395cc3c9615b110e6db4e89c7a6.html.gz,0.9358974099159241,Most likely human-generated
KY_2023_4401a1f25e567dffc1e7ee28e070267b.html.gz,0.9636363387107849,Most likely human-generated
KY_2023_5390f40aef5c1f3523e100522b7680ce.html.gz,0.936170220375061,Most likely human-generated
KY_2023_60272737ca52d07127a00b60ad2f2d7a.html.gz,0.96875,Most likely human-generated
KY_2023_60b9ffe73a984f8197d13498023e6057.html.gz,1.041176438331604,Most likely human-generated
KY_2023_8e441c926f8f0b7571b282e01ab3c39d.html.gz,0.9358974099159241,Most likely human-generated
KY_2023_973d03b22a3edb154f7f403dadd5518b.html.gz,1.0123456716537476,Most likely human-generated
KY_2023_d3c5e1eb59caaff7af4f54b81838624f.html.gz,0.9589040875434875,Most likely human-generated
KY_2023_f0584dc3a390d397dbe080985c6acfa2.html.gz,1.059880256652832,Most likely human-generated
