Link,Score,Prediction
SC_2024_02a6683d349086c7f4443babdf9d562f.html.gz,0.9513888955116272,Most likely human-generated
SC_2024_09d135ad97c61f31eba4f0646c46c320.html.gz,0.971222996711731,Most likely human-generated
SC_2024_0d2fab7ae45a745b4d702af3070093b8.html.gz,0.960629940032959,Most likely human-generated
SC_2024_1502266cf2dccea971015fd9dd9c717f.html.gz,1.0188679695129395,Most likely human-generated
SC_2024_1d31d8754c100f200b1e94b6cb3d5ea6.html.gz,0.9930070042610168,Most likely human-generated
SC_2024_209f3d41581c5055750c0c8f2ceadbb0.html.gz,1.0042016506195068,Most likely human-generated
SC_2024_342a15b41746ab91ca27af22f790da94.html.gz,1.0740740299224854,Most likely human-generated
SC_2024_4bf68860b5387efe7efbe057a969276c.html.gz,1.0069444179534912,Most likely human-generated
SC_2024_4f86969648d698c7475b8ae3ad352b07.html.gz,0.9871794581413269,Most likely human-generated
SC_2024_5d6e56f738ad725e7bd75964b42972a4.html.gz,1.0496894121170044,Most likely human-generated
SC_2024_5ed858921122acc45008bbbf3ab144ce.html.gz,0.9928057789802551,Most likely human-generated
SC_2024_621a5dd547c1884181056f4dfe5e74b5.html.gz,0.9685534834861755,Most likely human-generated
SC_2024_8503bcc9907eb4e0221fbc002bc21405.html.gz,0.9738562107086182,Most likely human-generated
SC_2024_8b8eb7ae9839d3a12bdac3a805991bfb.html.gz,0.9960474371910095,Most likely human-generated
SC_2024_afb51b2e4bb02b5aec454194457e1662.html.gz,1.0469799041748047,Most likely human-generated
SC_2024_c55cb13963bd650d8717e541d386b608.html.gz,1.0,Most likely human-generated
SC_2024_c7f3cf2aa05f3ecd5984081f5e006863.html.gz,1.006250023841858,Most likely human-generated
SC_2024_f4e4e3662e52e931ffcd6f973094d398.html.gz,1.0134228467941284,Most likely human-generated
SC_2024_f949eb688f7e16abda4b708ce00ba44a.html.gz,1.0,Most likely human-generated
SC_2024_ff64421e0ac613ed0f8b20f20dc3c25a.html.gz,0.9696969985961914,Most likely human-generated
