Link,Score,Prediction
KY_2020_089db3948a15c70f1b9a95111acf8a93.html.gz,0.9795918464660645,Most likely human-generated
KY_2020_0c7f457aeaaa73a1617c15f25e05da21.html.gz,0.9846153855323792,Most likely human-generated
KY_2020_0d7e6c104b7795e89b98e3d3f31bdda3.html.gz,1.024999976158142,Most likely human-generated
KY_2020_0f4020765d2bc4b225c133dffe13c96d.html.gz,1.0399999618530273,Most likely human-generated
KY_2020_0f9eb946a7c2cae8be5cbb7d5c8df704.html.gz,1.0,Most likely human-generated
KY_2020_178f70e09ebb9c433a587acb8fa6dc98.html.gz,0.9440559148788452,Most likely human-generated
KY_2020_17e23705eebca0281d10563b24836eec.html.gz,0.9319728016853333,Most likely human-generated
KY_2020_1cb661e8561d0191c3bbf39654a1a690.html.gz,1.0333333015441895,Most likely human-generated
KY_2020_2198b20ecc8b9592548e459af2069ac0.html.gz,0.9802631735801697,Most likely human-generated
KY_2020_23b034807af8bd31c11640f425082f78.html.gz,0.9928057789802551,Most likely human-generated
KY_2020_311554433624994265a1be33e3d86d63.html.gz,0.9863013625144958,Most likely human-generated
KY_2020_3329c4cd7f3798ecf0d622efac31fd16.html.gz,0.95333331823349,Most likely human-generated
KY_2020_3bcf3532eb2fa3115c855a9386768777.html.gz,1.0059171915054321,Most likely human-generated
KY_2020_40ea69793e2e53547aaeab44bd1e8732.html.gz,1.0133333206176758,Most likely human-generated
KY_2020_464b9eb161fb34c67ea3c71b830ccc27.html.gz,1.0503597259521484,Most likely human-generated
KY_2020_4dfe116251b68ca52bfeb50c20fdb0b4.html.gz,1.0,Most likely human-generated
KY_2020_4e2022402e3e3afa75806c2fe199ee2e.html.gz,1.0296295881271362,Most likely human-generated
KY_2020_4f6f3f0d0fbb5acbba6c5b415b00bd5a.html.gz,0.9202454090118408,Most likely human-generated
KY_2020_4f7ceb75075e238c917dc5084f181f30.html.gz,0.9440559148788452,Most likely human-generated
KY_2020_51656ffb65aa0c560dfc91ee8f7e59cc.html.gz,0.9328858852386475,Most likely human-generated
KY_2020_572e29bc4b79c5dc30e48f87b86e2f72.html.gz,1.014285683631897,Most likely human-generated
KY_2020_625ee931ad6ce2b95c34aff0ff0cdb91.html.gz,0.9650349617004395,Most likely human-generated
KY_2020_704ece9f907d5474cf5409e0dc32682f.html.gz,0.9696969985961914,Most likely human-generated
KY_2020_711a0ccdb9422a8d7ae3c004f24c3891.html.gz,0.97826087474823,Most likely human-generated
KY_2020_73eb9f2276a40fb73aa38df1489b076c.html.gz,0.8857142925262451,Most likely human-generated
KY_2020_7ac4b7f35a14c81e9f3152daff1b6cfa.html.gz,1.014814853668213,Most likely human-generated
KY_2020_7cd33c879af93ce05e710645b5909f08.html.gz,1.0844155550003052,Most likely human-generated
KY_2020_7fccf6a0b01ea64cbec52598c95a930d.html.gz,0.9696969985961914,Most likely human-generated
KY_2020_7fd2195de0fcd3e810bdfc87df78200a.html.gz,0.9927536249160767,Most likely human-generated
KY_2020_8208abf40b22962523ba4168270801d3.html.gz,0.960869550704956,Most likely human-generated
KY_2020_88913e9ab7c612295212aea8de2d4926.html.gz,1.0537633895874023,Most likely human-generated
