Link,Score,Prediction
ND_2021_007ebfe547e06071f6a03618da7e646b.html.gz,1.005555510520935,Most likely human-generated
ND_2021_22a0dd63ddf619f43aa040997e720cb9.html.gz,0.9959349632263184,Most likely human-generated
ND_2021_356ba64ccf805965a9922a25d2fd930a.html.gz,1.0499999523162842,Most likely human-generated
ND_2021_48993ef7b053fd1db725adb149bcccc3.html.gz,0.9424460530281067,Most likely human-generated
ND_2021_4d5e4437e10f562c6bdc129766790bec.html.gz,0.9943181872367859,Most likely human-generated
ND_2021_526be586dd6070e4d73dcac73768792d.html.gz,0.9802631735801697,Most likely human-generated
ND_2021_5789af2dce0e0ea008f1a67e42f3a6fb.html.gz,0.9807692170143127,Most likely human-generated
ND_2021_5cac57d0f10153d457abcab2b1733b95.html.gz,0.9473684430122375,Most likely human-generated
ND_2021_aa01f3393d6ee3283872c5912bdf12f9.html.gz,1.0160428285598755,Most likely human-generated
ND_2021_e191b4e90f3ae7697b29db1a6c7f674f.html.gz,0.9589040875434875,Most likely human-generated
ND_2021_fe2c51a7877bb9d6ee57ee6cbcbbb600.html.gz,0.9512194991111755,Most likely human-generated
