Link,Score,Prediction
MN_2020_1375c56a14309ba7bcca099399487f4f.html.gz,0.9340659379959106,Most likely human-generated
MN_2020_1c51a35e6256f42d0fdcd958509ab090.html.gz,0.9894179701805115,Most likely human-generated
MN_2020_23d62f8f8ee1a174e8c440d3a51b8ccd.html.gz,1.0613497495651245,Most likely human-generated
MN_2020_3e21d5359f2f036f77ac7e2aa1ca2b48.html.gz,1.0177514553070068,Most likely human-generated
MN_2020_5b4447931b5e20bf8f7bf8a1c97759fa.html.gz,1.1214286088943481,Most likely human-generated
MN_2020_685274bea3e0325b8555a5c22535dd36.html.gz,0.9732824563980103,Most likely human-generated
MN_2020_6f200acb5a1e38e59960202b0e11c2aa.html.gz,1.0368098020553589,Most likely human-generated
MN_2020_8542c6c8bf1565a7aa85c36515c4946e.html.gz,0.9784172773361206,Most likely human-generated
MN_2020_9e73f369740a873d0ebdecc1008805e3.html.gz,0.9634146094322205,Most likely human-generated
MN_2020_de7e235d89ee5c19b631486a459daf11.html.gz,0.9523809552192688,Most likely human-generated
