Link,Score,Prediction
AK_2020_2067cb277322436ca2c5aba042a6219b.html.gz,0.9685534834861755,Most likely human-generated
AK_2020_2db1026af2ef91a204134f635bcc63c1.html.gz,0.9567901492118835,Most likely human-generated
AK_2020_3894d474a407de498ebfe57962e5bc98.html.gz,0.9935064911842346,Most likely human-generated
AK_2020_40b1c5be2382ec019eec556fede5c82f.html.gz,1.0377358198165894,Most likely human-generated
AK_2020_64ef88c34eddcc969248653f37f870a3.html.gz,1.0314465761184692,Most likely human-generated
AK_2020_7c2a91fbe49947adaa07a02f9af66986.html.gz,1.0613497495651245,Most likely human-generated
AK_2020_8b496c7785a2d6616f4643191b50289e.html.gz,1.0271738767623901,Most likely human-generated
AK_2020_aee800fc639aa181e561270951a75309.html.gz,0.9878048896789551,Most likely human-generated
AK_2020_da0cb83ca3a5609c3ed744ff06b7951e.html.gz,1.0060975551605225,Most likely human-generated
AK_2020_de821f546e4f2084c59aa19bb0e639f5.html.gz,1.0184049606323242,Most likely human-generated
AK_2020_e64279e47c05394246b5938a45b7d3fe.html.gz,1.0496894121170044,Most likely human-generated
AK_2020_e775ae0b08df442268ea4e04e3dd7bb2.html.gz,1.0126582384109497,Most likely human-generated
AK_2020_ea4ef95b8b2cebc03161e71f6adca46b.html.gz,0.9929577708244324,Most likely human-generated
