Link,Score,Prediction
NY_2022_0e3809fdcd8126991920914156bd56a8.html.gz,0.9111111164093018,Most likely human-generated
NY_2022_0e96630dff9edbd49dd2179a09efbd52.html.gz,0.9673202633857727,Most likely human-generated
NY_2022_473ca246a47469d2a6f7e68a762f5111.html.gz,0.9496402740478516,Most likely human-generated
NY_2022_502257e8d024fd9b3ecc70a621acc035.html.gz,0.9870967864990234,Most likely human-generated
NY_2022_57d98cd2c7a29b53bcdb6bc48cdf8cb5.html.gz,0.9890109896659851,Most likely human-generated
NY_2022_5e3b12a7e9167da83991beb645a8190d.html.gz,1.03125,Most likely human-generated
NY_2022_7b688e5917ec97d1d08758dbc87deff8.html.gz,1.0064934492111206,Most likely human-generated
NY_2022_87611e1095fe42c498d0f2183695c571.html.gz,1.0,Most likely human-generated
NY_2022_93ebb1f77e06404a84129f1522e4045e.html.gz,1.0162161588668823,Most likely human-generated
NY_2022_9685a0ad9fae3ea77629dd7ea78d4eb1.html.gz,1.0273224115371704,Most likely human-generated
NY_2022_9fc51d8f101f1b9c2a0265d6fedff549.html.gz,1.0289855003356934,Most likely human-generated
NY_2022_a0e54ef0e04fcc0046e3bf6122c1e6fc.html.gz,1.063218355178833,Most likely human-generated
NY_2022_a8327a143a6ea043574d8eaeed8430f2.html.gz,1.0,Most likely human-generated
NY_2022_aa72c35e8e01d2ee35945e6be96a5a8e.html.gz,0.9803921580314636,Most likely human-generated
NY_2022_b6b7f4cf8f1634c52ee42eb6915c6d23.html.gz,1.0303030014038086,Most likely human-generated
NY_2022_d76e81247662a8d396855b9adcfb6206.html.gz,1.1216216087341309,Most likely human-generated
NY_2022_d7d6827e8856d3162e705e0cd959ec75.html.gz,1.0116279125213623,Most likely human-generated
NY_2022_e55f707bf01d80a2ada190506c10f90c.html.gz,1.0152671337127686,Most likely human-generated
NY_2022_f69c74dc287351d3ac0769dd583a84c3.html.gz,0.9857142567634583,Most likely human-generated
NY_2022_f871749bb00aa5b48488f5c75261d2b2.html.gz,0.9470587968826294,Most likely human-generated
NY_2022_ff586bbea2ce2c4445f972484278fcc2.html.gz,1.0275862216949463,Most likely human-generated
